행정구역코드	1단계	2단계	3단계	격자 X	격자 Y	경도(시)	경도(분)	경도(초)	위도(시)	위도(분)	위도(초)	경도(초/100)	위도(초/100)
4125051000	경기도	동두천시	생연1동	61	134	127	4	5.67	37	54	16.89	127.06824166666667	37.904691666666665
4125052000	경기도	동두천시	생연2동	61	134	127	3	4.0	37	53	55.82	127.05111111111111	37.89883888888889
4125053500	경기도	동두천시	중앙동	61	134	127	3	19.11	37	54	17.97	127.05530833333333	37.90499166666667
4125055000	경기도	동두천시	보산동	61	134	127	3	48.35	37	54	53.67	127.06343055555556	37.91490833333333
4125056500	경기도	동두천시	불현동	61	134	127	3	52.79	37	53	44.89	127.06466388888889	37.895802777777774
4125056600	경기도	동두천시	송내동	61	134	127	3	23.88	37	53	15.22	127.05663333333334	37.88756111111111
4125058000	경기도	동두천시	소요동	61	135	127	3	33.15	37	55	36.11	127.05920833333333	37.92669722222222
4125060000	경기도	동두천시	상패동	61	134	127	2	48.4	37	54	11.55	127.04677777777778	37.90320833333333
4127100000	경기도	안산시상록구	nil	58	121	126	50	48.55	37	17	54.67	126.84681944444444	37.298519444444445
4127151000	경기도	안산시상록구	일동	58	121	126	52	25.67	37	18	45.45	126.87379722222222	37.312625
4127151500	경기도	안산시상록구	이동	58	121	126	51	45.96	37	18	9.86	126.86276666666666	37.30273888888889
4127152500	경기도	안산시상록구	사동	58	121	126	51	3.6467999	37	17	49.318799	126.851013	37.297033
4127153200	경기도	안산시상록구	사이동	58	121	126	51	6.742799	37	17	23.139599	126.851873	37.289761
4127153700	경기도	안산시상록구	해양동	57	121	126	49	12.176399	37	17	41.11800	126.820049	37.294755
4127154000	경기도	안산시상록구	본오1동	58	121	126	51	59.71	37	17	11.07	126.8665861111111	37.286408333333334
4127155000	경기도	안산시상록구	본오2동	58	121	126	52	27.59	37	17	36.45	126.87433055555555	37.293458333333334
4127156000	경기도	안산시상록구	본오3동	58	121	126	51	57.03	37	17	54.57	126.86584166666665	37.29849166666666
4127157000	경기도	안산시상록구	부곡동	58	122	126	51	47.44	37	19	44.89	126.86317777777778	37.32913611111111
4127158000	경기도	안산시상록구	월피동	58	122	126	51	31.52	37	19	50.51	126.85875555555555	37.33069722222223
4127159000	경기도	안산시상록구	성포동	58	121	126	51	5.47	37	19	4.44	126.85151944444443	37.3179
4127160000	경기도	안산시상록구	반월동	59	121	126	54	15.59	37	18	11.48	126.90433055555556	37.30318888888888
4127161000	경기도	안산시상록구	안산동	58	122	126	52	31.52	37	21	32.04	126.87542222222221	37.3589
4127300000	경기도	안산시단원구	nil	57	121	126	48	51.91	37	19	0.22	126.81441944444444	37.31672777777778
4127351000	경기도	안산시단원구	와동	57	122	126	49	39.35	37	20	19.01	126.82759722222222	37.338613888888894
4127352500	경기도	안산시단원구	고잔동	57	122	126	49	8.637600	37	19	37.736399	126.819066	37.327149
4127353200	경기도	안산시단원구	중앙동	57	121	126	50	15.435599	37	19	25.42799	126.837621	37.323730
4127353500	경기도	안산시단원구	호수동	57	121	126	49	35.76	37	18	27.14	126.8266	37.307538888888885
4127354500	경기도	안산시단원구	원곡동	57	122	126	47	26.764799	37	19	59.9818799	126.790768	37.333283
4127355500	경기도	안산시단원구	백운동	57	122	126	48	6.332400	37	19	53.702399	126.801759	37.331584
4127356500	경기도	안산시단원구	신길동	57	122	126	47	10.013999	37	19	49.033199	126.786115	37.330287
4127357000	경기도	안산시단원구	초지동	57	121	126	48	38.4	37	19	19.1	126.81066666666666	37.32197222222223
4127358000	경기도	안산시단원구	선부1동	57	122	126	48	23.0	37	19	53.07	126.80638888888889	37.331408333333336
4127359000	경기도	안산시단원구	선부2동	57	122	126	48	17.0	37	20	8.67	126.80472222222222	37.33574166666667
4127360000	경기도	안산시단원구	선부3동	57	122	126	48	52.64	37	20	31.89	126.81462222222223	37.34219166666667
4127361000	경기도	안산시단원구	대부동	53	120	126	35	14.23	37	14	27.17	126.58728611111111	37.240880555555556
4128100000	경기도	고양시덕양구	nil	57	128	126	50	3.11	37	38	4.5	126.83419722222222	37.63458333333333
4128151000	경기도	고양시덕양구	주교동	57	129	126	49	54.2	37	39	24.04	126.83172222222221	37.65667777777777
4128152000	경기도	고양시덕양구	원신동	58	129	126	52	41.11	37	40	29.01	126.8780861111111	37.674724999999995
4128153000	경기도	고양시덕양구	흥도동	58	128	126	51	23.4	37	38	31.75	126.8565	37.642152777777774
4128154000	경기도	고양시덕양구	성사1동	57	129	126	50	36.55	37	39	6.08	126.8434861111111	37.651688888888884
4128155000	경기도	고양시덕양구	성사2동	57	128	126	50	6.2	37	39	0.5	126.83505555555556	37.65013888888889
4128156000	경기도	고양시덕양구	효자동	59	128	126	55	21.64	37	38	56.48	126.92267777777778	37.64902222222222
4128157500	경기도	고양시덕양구	삼송동	58	128	126	53	44.79	37	38	59.29	126.895775	37.64980277777778
4128158000	경기도	고양시덕양구	창릉동	58	128	126	53	20.64	37	38	34.01	126.88906666666668	37.642780555555554
4128159000	경기도	고양시덕양구	고양동	59	130	126	54	21.4	37	42	1.97	126.90594444444444	37.70054722222223
4128160000	경기도	고양시덕양구	관산동	58	129	126	51	52.84	37	41	6.83	126.86467777777777	37.68523055555555
4128161000	경기도	고양시덕양구	능곡동	57	128	126	49	9.91	37	37	20.29	126.81941944444443	37.622302777777776
4128162100	경기도	고양시덕양구	화정1동	57	128	126	50	8.23	37	38	30.51	126.83561944444443	37.64180833333333
4128162200	경기도	고양시덕양구	화정2동	57	128	126	50	16.67	37	37	39.89	126.83796388888888	37.627747222222226
4128163000	경기도	고양시덕양구	행주동	57	128	126	49	38.84	37	36	56.14	126.82745555555555	37.61559444444445
4128164000	경기도	고양시덕양구	행신1동	57	128	126	50	16.84	37	37	10.17	126.8380111111111	37.61949166666667
4128165000	경기도	고양시덕양구	행신2동	57	128	126	50	6.44	37	36	44.29	126.83512222222221	37.61230277777778
4128165500	경기도	고양시덕양구	행신3동	57	128	126	50	27.32	37	37	25.51	126.84092222222222	37.62375277777778
4128166000	경기도	고양시덕양구	화전동	58	127	126	52	29.03	37	35	50.23	126.87473055555554	37.59728611111111
4128167000	경기도	고양시덕양구	대덕동	58	127	126	52	38.71	37	34	57.58	126.87741944444444	37.582661111111115
4128500000	경기도	고양시일산동구	nil	56	129	126	46	37.4	37	39	21.27	126.77705555555555	37.65590833333333
4128551000	경기도	고양시일산동구	식사동	57	129	126	48	43.55	37	40	16.29	126.81209722222222	37.671191666666665
4128552000	경기도	고양시일산동구	중산동	56	129	126	47	0.15	37	41	28.27	126.78337499999999	37.69118611111111
